timestamp,open,high,low,close,volume
2020-01-01 00:00:00,100.1127,100.3528,99.5185,100.2484,14499
2020-01-01 00:01:00,100.1181,100.2642,99.8016,100.1792,8919
2020-01-01 00:02:00,100.3836,100.784,100.2075,100.5031,26602
2020-01-01 00:03:00,101.2867,101.4605,101.2197,101.2646,37869
2020-01-01 00:04:00,101.3869,101.834,100.8403,101.1475,8571
2020-01-01 00:05:00,100.8762,101.2267,100.668,101.0304,31467
2020-01-01 00:06:00,102.0202,102.6199,101.4662,101.82,20044
2020-01-01 00:07:00,102.0474,102.6714,101.9359,102.2038,13596
2020-01-01 00:08:00,101.7995,102.0385,101.7766,101.969,23342
2020-01-01 00:09:00,102.404,103.0541,102.1616,102.2403,12197
2020-01-01 00:10:00,102.193,102.4339,101.9278,102.0086,32227
2020-01-01 00:11:00,101.946,102.0804,101.2589,101.7757,48568
2020-01-01 00:12:00,101.6336,102.0726,101.2877,101.8967,4749
2020-01-01 00:13:00,100.8469,101.254,100.726,100.9401,28425
2020-01-01 00:14:00,100.2422,100.3991,99.1496,100.0776,40873
2020-01-01 00:15:00,99.8048,99.8262,99.6043,99.7965,24017
2020-01-01 00:16:00,99.0753,99.6918,98.6635,99.2901,24078
2020-01-01 00:17:00,99.5388,99.9939,99.2411,99.4472,31184
2020-01-01 00:18:00,98.8502,99.2808,98.6705,98.9932,47386
2020-01-01 00:19:00,98.6459,99.1922,98.1239,98.287,22778
2020-01-01 00:20:00,99.3288,99.9928,98.7197,99.0198,5703
2020-01-01 00:21:00,99.0278,99.0893,98.684,98.907,49983
2020-01-01 00:22:00,99.2129,99.2576,98.848,98.9407,1600
2020-01-01 00:23:00,98.2413,98.3422,98.1018,98.2283,47326
2020-01-01 00:24:00,98.1092,98.3896,97.627,97.9561,43519
2020-01-01 00:25:00,98.3072,98.7197,97.942,98.0116,26240
2020-01-01 00:26:00,97.4852,98.0473,97.1227,97.4361,48947
2020-01-01 00:27:00,97.5729,97.892,96.8562,97.624,38725
2020-01-01 00:28:00,96.9827,97.3485,96.9532,97.3236,48346
2020-01-01 00:29:00,97.1612,97.3128,96.6879,97.1778,29357
2020-01-01 00:30:00,97.0416,97.1677,96.8692,96.8769,23557
2020-01-01 00:31:00,97.9922,98.348,97.5889,97.8031,11231
2020-01-01 00:32:00,97.8972,98.2908,97.2746,97.7963,5576
2020-01-01 00:33:00,97.1592,97.4074,96.8778,97.2675,12982
2020-01-01 00:34:00,97.2834,97.8972,97.1257,97.6788,23647
2020-01-01 00:35:00,96.9693,97.111,96.9406,97.0683,31488
2020-01-01 00:36:00,97.1119,97.4407,96.8195,97.1728,39780
2020-01-01 00:37:00,96.1303,96.2372,95.8368,96.1929,41708
2020-01-01 00:38:00,95.6525,96.0177,95.5078,95.5288,24041
2020-01-01 00:39:00,96.0244,96.4811,95.5907,95.6273,24631
2020-01-01 00:40:00,96.0212,96.1258,95.8104,95.9965,8526
2020-01-01 00:41:00,96.0388,96.1037,96.0173,96.0822,38054
2020-01-01 00:42:00,95.9725,96.826,95.7273,96.0244,47715
2020-01-01 00:43:00,95.8987,96.2245,95.8549,95.8738,19341
2020-01-01 00:44:00,94.9689,95.3786,94.712,95.1345,20472
2020-01-01 00:45:00,94.7987,95.0831,94.7422,94.7746,27654
2020-01-01 00:46:00,94.6345,94.8465,94.2452,94.5443,47302
2020-01-01 00:47:00,95.1148,95.3602,94.7204,95.0729,6189
2020-01-01 00:48:00,95.3362,95.5814,94.785,95.2447,2827
2020-01-01 00:49:00,94.4499,94.9353,94.3484,94.3632,44399
2020-01-01 00:50:00,94.1708,95.1466,93.9405,94.5252,26692
2020-01-01 00:51:00,94.46,94.5685,94.3231,94.3327,3005
2020-01-01 00:52:00,93.86,94.4285,93.7639,93.9942,29695
2020-01-01 00:53:00,94.0809,94.7229,93.4378,94.3,7590
2020-01-01 00:54:00,94.5946,94.9876,94.3877,94.8155,33935
2020-01-01 00:55:00,95.3679,95.6307,94.9303,95.2812,16105
